Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,37.09000015258789,37.16999816894531,36.2599983215332,36.93000030517578,34.62623977661133,1581300
2020-01-03,36.29999923706055,36.779998779296875,36.029998779296875,36.45000076293945,34.17618179321289,1042600
2020-01-06,36.09000015258789,36.25,35.79999923706055,35.900001525878906,33.66049575805664,1199200
2020-01-07,36.04999923706055,36.2599983215332,35.81999969482422,35.95000076293945,33.707374572753906,1533100
2020-01-08,35.90999984741211,36.029998779296875,35.54999923706055,35.93000030517578,33.688621520996094,1345400
2020-01-09,36.060001373291016,36.619998931884766,35.86000061035156,36.599998474121094,34.31682586669922,2060900
2020-01-10,36.66999816894531,37.0,36.349998474121094,36.650001525878906,34.36370849609375,1908900
2020-01-13,36.72999954223633,37.08000183105469,36.08000183105469,37.040000915527344,34.7293815612793,1840200
2020-01-14,37.130001068115234,37.18000030517578,36.459999084472656,36.779998779296875,34.485591888427734,1673400
2020-01-15,36.68000030517578,37.27000045776367,36.540000915527344,36.720001220703125,34.42934036254883,1487600
2020-01-16,36.93000030517578,37.31999969482422,36.93000030517578,37.290000915527344,34.963783264160156,1281300
2020-01-17,37.369998931884766,37.47999954223633,37.0,37.33000183105469,35.00128936767578,2329000
2020-01-21,37.119998931884766,37.150001525878906,35.75,36.029998779296875,33.782379150390625,2255900
2020-01-22,36.150001525878906,36.56999969482422,36.099998474121094,36.31999969482422,34.05429458618164,1549400
2020-01-23,36.119998931884766,36.349998474121094,35.75,36.22999954223633,33.969905853271484,1769400
2020-01-24,36.099998474121094,36.36000061035156,34.970001220703125,35.52000045776367,33.30419921875,2243900
2020-01-27,34.65999984741211,35.529998779296875,34.40999984741211,35.04999923706055,32.86351776123047,2797200
2020-01-28,37.0,37.5,36.099998474121094,36.779998779296875,34.485591888427734,4411400
2020-01-29,36.849998474121094,37.20000076293945,36.61000061035156,36.72999954223633,34.438716888427734,2256600
2020-01-30,36.290000915527344,36.9900016784668,36.0,36.97999954223633,34.67312240600586,1730800
2020-01-31,36.72999954223633,36.7599983215332,35.459999084472656,35.56999969482422,33.35108184814453,2335900
